,cardboard,glass,metal,paper,plastic,trash,accuracy,macro avg,weighted avg
precision,0.9565217391304348,0.7978723404255319,0.7924528301886793,0.837037037037037,0.6837606837606838,0.42857142857142855,0.7773359840954275,0.7493693431856326,0.789807017557225
recall,0.825,0.75,0.5121951219512195,0.9576271186440678,0.8333333333333334,0.5555555555555556,0.7773359840954275,0.7389518549140294,0.7773359840954275
f1-score,0.8859060402684564,0.7731958762886598,0.6222222222222222,0.8932806324110671,0.7511737089201878,0.4838709677419355,0.7773359840954275,0.7349415746420881,0.7749475146768209
support,80.0,100.0,82.0,118.0,96.0,27.0,0.7773359840954275,503.0,503.0
