,cardboard,glass,metal,paper,plastic,trash,accuracy,macro avg,weighted avg
precision,1.0,0.8695652173913043,0.7352941176470589,0.9133858267716536,0.8229166666666666,0.8333333333333334,0.8608349900596421,0.8624158603016694,0.8678532146028716
recall,0.85,0.8,0.9146341463414634,0.9830508474576272,0.8229166666666666,0.5555555555555556,0.8608349900596421,0.8210262026702188,0.8608349900596421
f1-score,0.918918918918919,0.8333333333333334,0.8152173913043478,0.9469387755102041,0.8229166666666666,0.6666666666666666,0.8608349900596421,0.833998625400023,0.8597086450179074
support,80.0,100.0,82.0,118.0,96.0,27.0,0.8608349900596421,503.0,503.0
